album,artist,country,label,year,date_year
Kollektiv,Various,Germany,BPitch Control,2000,2000-01-01
Rocking-Chair EP,Quite-k,Russia,Deep-X Recordings,2011,2011-01-01
Elephant And Obelisk,Sutekh,United States of America,Orac Records,2007,2007-01-01
Close To The Beat / Smoothy,M.I.R.K.O.,Netherlands,EC Records,2009,2009-01-01
Depart,Jasper,United States of America,Cytrax,1999,1999-01-01
Spool,Carl Sagan,Germany,43recordings,2009,2009-01-01
Suckfish,Audion,United States of America,Spectral Sound,2005,2005-01-01
Aires Buenos,Various,United States of America,Unfoundsound,2006,2006-01-01
vakbekwaam,Olene Kadar,Germany,Mo's Ferry Prod.,2008,2008-01-01
Umek? Hell Yeah,Umek,Italy,Hell Yeah Recordings,2009,2009-01-01
5.1,Moritz Von Pein,Germany,Kahlwild,2006,2006-01-01
Kalte Füsse II Vol.2,Various,Germany,Opossum Recordings,2007,2007-01-01
The Remedy Presents - Love Part One / Love Part Two,Johannes Heil,Germany,G-Series,2005,2005-01-01
Uno,Verrina & Ventura,Italy,Howl (4),2015,2015-01-01
Circle Of Dorth,Ion Ludwig,Germany,Stock5,2006,2006-01-01
Temporary Suspension EP,Planetary Assault Systems,Germany,Ostgut Ton,2009,2009-01-01
Diderot,Mathias Schaffhäuser,Germany,Biotop,2016,2016-01-01
This Time Around,Roswell Return,Netherlands,SD Records,2014,2014-01-01
Kollektiv Artists. Volume 7. [Part 1],Various,Russia,Music Kollektiv,2012,2012-01-01
The Black & White Lab,Robert Hood,United States of America,M-Plant,2002,2002-01-01
Discount Baby,Bodo Elsel,Germany,Playhouse,1999,1999-01-01
Ministek,Ra-X,Belgium,KK Records,1996,1996-01-01
Assbomb / Longcat,Ziggy Kinder,Germany,Ware,2009,2009-01-01
Bleed Like Me,Break 3000,Germany,Dirt Crew Recordings,2008,2008-01-01
Decompression EP,Mathew Jonson,Canada,M_nus,2004,2004-01-01
Sibling Rivalry EP,Lex Gorrie,United Kingdom,Sleaze Records,2011,2011-01-01
Micro E.P.,Oblongmonster,Argentina,Miniatura Records,2010,2010-01-01
Variables,Various,Germany,Items & Things,2012,2012-01-01
Gleis Zwei,M.I.A.,Germany,Sub Static,2001,2001-01-01
Gaby,Die Stunde Null (2),Germany,Flying Beam Records,1997,1997-01-01
Hermanos EP,Julian Jeweil,Canada,Plus 8 Records,2011,2011-01-01
Nine Five EP,Jeng Do,Netherlands,Sound Architecture,2009,2009-01-01
My Name Is,Boris Brejcha,Germany,Harthouse Mannheim,2010,2010-01-01
Dr. Pyckle And Mr. Pryde,Pan/Tone,Germany,Sub Static,2007,2007-01-01
New Arrival,Mark Broom,United Kingdom,Pure Plastic,2000,2000-01-01
A Tribute To Klang Club,Various,Italy,Unclear,2014,2014-01-01
T-Rex,Dot Wiggin,Canada,New Kanada,2007,2007-01-01
Featuring The Dramatics,Farben,Germany,Klang Elektronik,1999,1999-01-01
Chibullian,DJ Zank,Japan,U7 DJ Toolz,2000,2000-01-01
MDR 01,Marcel Dettmann,Germany,Marcel Dettmann Records,2006,2006-01-01
Banshee,Richard Belsom,Germany,Confused Recordings,2008,2008-01-01
You Can Shake,Alex Bau,Hong Kong,Sino,2009,2009-01-01
History,TXT,United States of America,21/22 Corporation,2003,2003-01-01
Geometry,Run Stop Restore,Canada,M_nus,2004,2004-01-01
My Music Is My Space,Various,Germany,Statik Entertainment,2007,2007-01-01
Eurotunnel / Calibration,John Tejada,Germany,~scape,2006,2006-01-01
Document,Various,Netherlands,A1 Records,1998,1998-01-01
Audiomatique 2.3: The Remixes,Various,Germany,Audiomatique Recordings,2008,2008-01-01
Love,Quesh,Germany,Art Of Perception,2006,2006-01-01
Kommunicate EP,Drumcell,United States of America,Droid Recordings,2007,2007-01-01
Deafness Records CD Two,Various,Hungary,Deafness Records,2012,2012-01-01
Ghetto Of My Mind,Jackmate,Germany,Authentic Music,2002,2002-01-01
Pets Of Plenty,Touchy Mob,Germany,Gingerbread Records,2009,2009-01-01
"My Heart's In My Hand, And My Hand Is Pierced, And My Hand's In The Bag, And The Bag Is Shut, And My Heart Is Caught.",Phil Collins (3),Italy,Nero Collins,2015,2015-01-01
Switch Stance E.P.,TD5,United Kingdom,Primate Recordings,1996,1996-01-01
Blablakaux,*,France,Division Virtuel,2009,2009-01-01
7th City Classics Vol. 2,Cabanne,United States of America,7th City,2007,2007-01-01
"<a class=""needs_changes"" href=""/master/1072299-Fathernature-2006-Remixes/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",United States of America,Immigrant,2006,2006-01-01
Mopti,Eric Borgo,United Kingdom,Tsuba Records,2008,2008-01-01
Legba,Dachshund,Germany,Contexterrior,2009,2009-01-01
01.01-00.07.30H,M² (4),Germany,Shortage,2009,2009-01-01
POLIS The Remixes Volume One,Billy Dalessandro,Portugal,SONICULTURE,2009,2009-01-01
Achtein,Q_no,Germany,Ostwind Records,2009,2009-01-01
The Piper,Norman,United States of America,Synewave,1996,1996-01-01
"<a href=""/master/227908-Dreiklangkapriolen/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Musik Krause,2010,2010-01-01
Schoolyard ,Peter Schumann,Germany,Bluecode Records,2011,2011-01-01
Those Days,Kassem Mosse,Germany,Mikrodisko Recordings,2007,2007-01-01
"<a class=""needs_changes"" href=""/master/406162-Mr-Dry-Glow-Worm/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Trapez,2008,2008-01-01
